Kategori,pengalaman,label
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif menggerakkan komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memimpin komunitas belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","inovatif dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memotivasi rekan guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mendorong partisipasi","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berinisiatif dalam belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif di sekolah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif di wilayah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kolaborasi antar guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","pengaruh positif","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mengorganisir kegiatan belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","komunitas belajar kuat","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mengembangkan komunitas belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berperan penting dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memfasilitasi diskusi","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","menggalang semangat belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","pioneer dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berbagi pengetahuan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mentor bagi guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memupuk semangat belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak aktif menggerakkan komunitas","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang memimpin komunitas belajar","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang inovatif dalam komunitas","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang memotivasi rekan guru","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang mendorong partisipasi","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang berinisiatif dalam belajar","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","minim keterlibatan di sekolah","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","minim keterlibatan di wilayah","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kurang kolaborasi antar guru","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","dampak negatif atau tidak berpengaruh","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak mengorganisir kegiatan belajar","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","komunitas belajar lemah","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak mengembangkan komunitas belajar","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","peran tidak penting dalam komunitas","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak memfasilitasi diskusi","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak menggalang semangat belajar","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak menjadi pelopor dalam komunitas","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak berbagi pengetahuan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak menjadi mentor bagi guru","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","tidak memupuk semangat belajar","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","aktif melatih rekan guru","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mendukung pengembangan pembelajaran berpusat pada peserta didik","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memberikan pelatihan berkualitas","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memfasilitasi pengembangan keahlian","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","membagikan sumber daya dan dukungan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mengorganisir sesi pelatihan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kolaborasi dalam pengembangan kurikulum","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mendukung pendekatan pembelajaran berbasis peserta didik","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mendorong refleksi dan perbaikan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","membagikan praktik terbaik","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memberikan umpan balik yang konstruktif","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","menyediakan bimbingan yang diperlukan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mengatur waktu untuk pelatihan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memfasilitasi diskusi tentang strategi pembelajaran","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","mendorong penggunaan teknologi pendidikan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memfasilitasi pertukaran pengalaman","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memperhatikan kebutuhan individu","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memberikan dukungan untuk peningkatan keterampilan","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","membangun kapasitas","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","memotivasi untuk pengembangan diri","Guru penggerak telah melakukan peran dengan baik"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang melatih rekan guru","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","minim memberikan pelatihan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak mengembangkan pembelajaran berpusat pada peserta didik","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang mendukung pengembangan keahlian","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak memberikan sumber daya atau dukungan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak memfasilitasi sesi pelatihan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","minim kolaborasi dalam pengembangan kurikulum","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang mendukung pendekatan pembelajaran berbasis peserta didik","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang mendorong refleksi dan perbaikan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang membagikan praktik terbaik","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak memberikan umpan balik yang konstruktif","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak menyediakan bimbingan yang diperlukan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","minim menyediakan waktu untuk pelatihan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak memfasilitasi diskusi tentang strategi pembelajaran","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak mendorong penggunaan teknologi pendidikan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang memfasilitasi pertukaran pengalaman","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang memperhatikan kebutuhan individu","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","tidak memberikan dukungan untuk peningkatan keterampilan","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","minim membangun kapasitas","Guru penggerak belum melakukan perannya secara optimal"
"Berperan dalam melatih rekan guru dalam mengembangkan pembelajaran yang berpusat pada peserta didik","kurang memotivasi untuk pengembangan diri","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mendorong partisipasi aktif siswa dalam kepemimpinan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mengorganisir pelatihan kepemimpinan berkualitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Memberikan dukungan dan bimbingan kepemimpinan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Membangun budaya sekolah yang mempromosikan kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Memfasilitasi forum diskusi tentang kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mengakui dan memperkuat potensi kepemimpinan setiap siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mengintegrasikan kegiatan kepemimpinan dalam kurikulum","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Memotivasi siswa untuk mengambil peran kepemimpinan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menyediakan sumber daya untuk pengembangan kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Memfasilitasi proyek-proyek kolaboratif yang melibatkan kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Memberikan kesempatan bagi siswa untuk mengembangkan keterampilan kepemimpinan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menyelenggarakan acara dan kompetisi yang mempromosikan kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Membuat program mentoring antara siswa senior dan junior dalam hal kepemimpinan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menyediakan sarana untuk evaluasi dan umpan balik kepemimpinan siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mendorong siswa untuk mengidentifikasi dan mengekspresikan visi kepemimpinan mereka","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Mendukung inisiatif siswa untuk memperbaiki kondisi sekolah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Melibatkan siswa dalam proses pengambilan keputusan di sekolah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menyediakan model kepemimpinan yang positif bagi siswa","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menyediakan peluang bagi siswa untuk memimpin proyek dan kegiatan ekstrakurikuler","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Menghargai kontribusi dan prestasi kepemimpinan siswa secara terbuka","Guru penggerak telah melakukan peran dengan baik"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Kurang mendukung partisipasi siswa dalam kepemimpinan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak menyediakan pelatihan kepemimpinan yang memadai","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak memberikan dukungan atau bimbingan yang cukup dalam hal kepemimpinan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak memperhatikan pembentukan budaya sekolah yang mendukung kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak mengadakan forum atau kegiatan yang mempromosikan diskusi tentang kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak mengakui atau memperkuat potensi kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak memasukkan kegiatan kepemimpinan dalam kurikulum","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak memberikan dorongan atau motivasi bagi siswa untuk mengambil peran kepemimpinan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak menyediakan sumber daya yang dibutuhkan untuk pengembangan kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak mendukung proyek kolaboratif yang melibatkan kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak memberikan kesempatan atau dukungan untuk pengembangan keterampilan kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak melibatkan siswa dalam penyelenggaraan acara atau kompetisi tentang kepemimpinan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak menyelenggarakan program mentoring yang efektif untuk siswa dalam hal kepemimpinan","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak menyediakan sarana untuk evaluasi atau umpan balik terhadap kepemimpinan siswa","Guru penggerak belum melakukan perannya secara optimal"
"Menjadi agen perubahan dalam hal peningkatan kualitas kepemimpinan peserta didik di sekolah","Tidak mendorong siswa untuk mengembangkan visi kepemimpinan mereka sendiri","Guru penggerak belum melakukan perannya secara optimal"
